ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
1064,yes,yes,6,8,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,Yes,No,No,No,-0.00723948,<5pr
934,yes,yes,7,8,7,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.204822748,9pr-13pr
921,yes,yes,5,7,6,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.096249676,9pr-13pr
895.5,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_low,No,Yes,No,No,-0.510693529,<5pr
886,yes,yes,6,6,5,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,-0.789634625,9pr-13pr
876,yes,yes,6,7,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,yes,rented,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-1.462993262,5pr-9pr
868,yes,yes,7,7,6,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,1_evening,high,No,No,No,No,-0.412778437,9pr-13pr
849,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,1.281117665,21pr-35pr
848,yes,yes,7,8,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,No,5_evenings,high,No,No,No,No,-0.403699348,5pr-9pr
843,yes,yes,6,8,7,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,0.264712512,21pr-35pr
842,yes,yes,5,6,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,1.415703156,35pr+
838,yes,yes,7,7,7,Female,Managerial_and_professional,HE_below_degree_level,yes,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-0.812220107,21pr-35pr
836,yes,no,5,6,5,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,yes,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,1.250107026,21pr-35pr
836,yes,yes,6,6,5,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,1.819998563,35pr+
829,yes,yes,7,8,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-1.111344313,<5pr
828.5,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.665515742,<5pr
827,yes,yes,6,8,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.507523865,35pr+
826,yes,yes,7,7,7,Male,"Routine,_semi-routine_or_unemployed",No_qualification,yes,owned,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.721885073,13pr-21pr
824,yes,yes,6,7,6,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,1_evening,very_low,No,No,missing,missing,1.812958012,35pr+
816,yes,yes,6,8,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-1.573497244,<5pr
808,yes,yes,7,8,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-1.060838396,5pr-9pr
806,yes,yes,7,8,7,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.080037174,13pr-21pr
805,yes,yes,7,7,7,Female,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.130429284,5pr-9pr
805,yes,yes,7,7,6,Female,"Routine,_semi-routine_or_unemployed",No_qualification,yes,rented,no,Yes,No,No,Yes,5_evenings,high,No,No,missing,missing,0.840992233,35pr+
804,yes,yes,7,8,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,yes,owned,yes,No,Yes,No,Yes,3_evenings,very_low,No,No,No,No,-0.721885073,13pr-21pr
803.5,yes,yes,7,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.698137314,5pr-9pr
803.5,yes,yes,7,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-0.9771424,<5pr
803,yes,yes,5,7,6,Male,Intermediate,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-1.645831442,<5pr
801,yes,yes,6,7,7,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-0.094171874,21pr-35pr
796,yes,yes,7,8,7,Male,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,0.566245635,21pr-35pr
793,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-0.189836244,21pr-35pr
790,yes,yes,7,7,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.412778437,9pr-13pr
789,yes,yes,7,8,7,Female,"Routine,_semi-routine_or_unemployed",Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-1.132088673,9pr-13pr
788.25,yes,yes,6,8,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.566946812,<5pr
788,yes,yes,5,5,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,4_evenings,low,No,No,missing,missing,0.172771977,35pr+
787,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,high,No,No,No,No,-0.93037915,5pr-9pr
