ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
1064,yes,yes,6,8,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,Yes,No,No,No,-0.007239480314113,<5pr
934,yes,yes,7,8,7,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.20482274821239,9pr-13pr
921,yes,yes,5,7,6,Male,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.096249676077043,9pr-13pr
895.5,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_low,No,Yes,No,No,-0.51069352877627,<5pr
886,yes,yes,6,6,5,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,-0.78963462488382,9pr-13pr
876,yes,yes,6,7,6,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,yes,rented,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,-1.46299326233194,5pr-9pr
868,yes,yes,7,7,6,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,1_evening,high,No,No,No,No,-0.412778436862193,9pr-13pr
849,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,rented,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,1.28111766541468,21pr-35pr
848,yes,yes,7,8,7,Female,Managerial_and_professional,GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,No,5_evenings,high,No,No,No,No,-0.403699347551647,5pr-9pr
843,yes,yes,6,8,7,Male,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,0.264712512491035,21pr-35pr
842,yes,yes,5,6,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,1.41570315608676,35pr+
841,yes,yes,6,7,6,Male,missing,Other_qualifications,yes,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,1.49993744357381,35pr+
838,yes,yes,7,7,7,Female,Managerial_and_professional,HE_below_degree_level,yes,owned,no,Yes,Yes,Yes,Yes,5_evenings,very_high,No,No,No,No,-0.81222010651049,21pr-35pr
836,yes,no,5,6,5,Female,"Routine,_semi-routine_or_unemployed",GCSE_grades_A-C_or_equiv,yes,rented,yes,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,1.25010702605048,21pr-35pr
836,yes,yes,6,6,5,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,1.81999856317266,35pr+
829,yes,yes,7,8,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-1.11134431276001,<5pr
828.5,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-0.665515741585269,<5pr
827,yes,yes,6,8,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.507523865415732,35pr+
826,yes,yes,7,7,7,Male,"Routine,_semi-routine_or_unemployed",No_qualification,yes,owned,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.721885072624075,13pr-21pr
824,yes,yes,6,7,6,Female,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,1_evening,very_low,No,No,missing,missing,1.81295801197914,35pr+
816,yes,yes,6,8,7,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-1.57349724397116,<5pr
815,yes,yes,7,8,7,Female,missing,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,missing,No,missing,No,No,-0.208500466716249,<5pr
813,yes,yes,6,6,5,Female,missing,GCE_A_Level_or_equivalent,yes,rented,yes,Yes,Yes,Yes,Yes,4_evenings,very_high,No,No,No,No,1.02735945927542,21pr-35pr
811.5,yes,yes,7,8,7,Female,missing,No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-0.623700224028221,<5pr
808,yes,yes,7,8,7,Male,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-1.06083839594191,5pr-9pr
806,yes,yes,7,8,7,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.080037174287942,13pr-21pr
805,yes,yes,7,7,7,Female,Intermediate,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-1.13042928368579,5pr-9pr
805,yes,yes,7,7,6,Female,"Routine,_semi-routine_or_unemployed",No_qualification,yes,rented,no,Yes,No,No,Yes,5_evenings,high,No,No,missing,missing,0.840992232537011,35pr+
804,yes,yes,7,8,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,yes,owned,yes,No,Yes,No,Yes,3_evenings,very_low,No,No,No,No,-0.721885072624075,13pr-21pr
803.5,yes,yes,7,7,7,Female,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.698137313962829,5pr-9pr
803.5,yes,yes,7,7,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-0.977142400389746,<5pr
803,yes,yes,5,7,6,Male,Intermediate,Degree_or_equivalent,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,very_high,No,No,No,No,-1.64583144152389,<5pr
801,yes,yes,6,7,7,Female,Intermediate,No_qualification,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-0.094171874408595,21pr-35pr
796,yes,yes,7,8,7,Male,"Routine,_semi-routine_or_unemployed",GCE_A_Level_or_equivalent,yes,rented,no,Yes,Yes,No,Yes,5_evenings,low,No,No,No,No,0.566245634650476,21pr-35pr
793,yes,yes,6,6,5,Female,Intermediate,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,high,No,No,No,No,-0.189836244379978,21pr-35pr
792,yes,yes,7,7,7,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.10608506450625,9pr-13pr
790,yes,yes,7,7,6,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.412778436862193,9pr-13pr
789,yes,yes,7,8,7,Female,"Routine,_semi-routine_or_unemployed",Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-1.13208867334808,9pr-13pr
788.25,yes,yes,6,8,7,Male,Managerial_and_professional,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,-1.56694681197442,<5pr
788,yes,yes,5,5,6,Male,"Routine,_semi-routine_or_unemployed",No_qualification,no,rented,yes,Yes,Yes,No,Yes,4_evenings,low,No,No,missing,missing,0.172771977170839,35pr+
